Period,rgdp_mex,rgdp_usa,rgdp_can,gexp_mex,gexp_usa,gexp_can,tax_mex,tax_usa,tax_can,ca_mex,ca_usa,ca_can,reer_mex,reer_usa,reer_can,crisis,d_reer_mex,d_reer_usa,d_reer_can
2005/01,16.4263508059969,16.5079628077181,14.2986623697777,14.1648714643361,12.8626913751982,12.6957471531975,12.5791847679452,0.0384155254296,10.9142274009296,-0.0125761679097,-0.0132189543698,0.0022574410066,4.7529331752619,4.5433515941578,4.5404005472848,0.0000000000000,-0.0127427525850,0.0068484556703,-0.0107557504706
2005/02,16.4292508050424,16.5128170515733,14.3058914042998,14.1753441785716,12.8551137069816,12.6992799746075,12.5821944079322,0.0376127786734,10.9037064593779,-0.0058905268631,-0.0137447249952,0.0027722047888,4.7418238601741,4.5723242034266,4.5546048833203,0.0000000000000,-0.0111093150877,0.0289726092688,0.0142043360355
2005/03,16.4376135696191,16.5206425719639,14.3179323684022,14.1910293412694,12.8659826169342,12.7049279095577,12.5804191471548,0.0392337400654,10.9066244160673,-0.0048856266667,-0.0141241458026,0.0055066416514,4.7808913284868,4.5971660172224,4.5651805799172,0.0000000000000,0.0390674683127,0.0248418137958,0.0105756965969
2005/04,16.4541803341881,16.5263057880247,14.3277711516683,14.2082740137566,12.8773992870054,12.7159908577228,12.5995988789458,0.0432231448873,10.9132547408807,-0.0040264308289,-0.0154107312510,0.0085012208766,4.8063705978191,4.5980308872999,4.5801801432352,0.0000000000000,0.0254792693323,0.0008648700775,0.0149995633181
2006/01,16.4716002697026,16.5397023137223,14.3358483968228,14.2217114024269,12.9117804915252,12.7199974618338,12.5939698565133,0.0446901132129,10.9210998440223,-0.0017140315577,-0.0145059150361,0.0046253387534,4.8177928250646,4.6100004215469,4.5661885573194,0.0000000000000,0.0114222272455,0.0119695342471,-0.0139915859158
2006/02,16.4812883215429,16.5421551403875,14.3363647273464,14.2122775710903,12.8914330947644,12.7305999707931,12.6484714609759,0.0458565081684,10.9335504504087,-0.0056148722222,-0.0147765120415,0.0030381373783,4.8361530671019,4.5480790434920,4.5534279892424,0.0000000000000,0.0183602420373,-0.0619213780550,-0.0127605680770
2006/03,16.4840690526435,16.5436585715494,14.3391532905351,14.2038292812732,12.9007626656025,12.7338320795868,12.6594420825387,0.0456923871544,10.9344252438620,-0.0046788248772,-0.0155590346136,0.0032785447355,4.8308989804615,4.5709260632806,4.5497388203664,0.0000000000000,-0.0052540866404,0.0228470197886,-0.0036891688760
2006/04,16.4865494498814,16.5520602949819,14.3431313499752,14.2109873764686,12.8881715908246,12.7401009920639,12.5645200122005,0.0451792648772,10.9645794086336,-0.0016534649345,-0.0136290627844,0.0035220007869,4.8130977215121,4.5853441650945,4.5380770677910,0.0000000000000,-0.0178012589493,0.0144181018139,-0.0116617525754
2007/01,16.4935194322262,16.5549919819911,14.3495072471106,14.2214520587933,12.8871306936079,12.7440882486734,12.6381508196292,0.0447857787167,10.9467830864025,-0.0152031242700,-0.0139087529150,0.0025657995083,4.7826347632321,4.5726492966158,4.5398733961641,0.0000000000000,-0.0304629582801,-0.0126948684787,0.0017963283731
2007/02,16.5012453371903,16.5613560336879,14.3591496816923,14.2377809698570,12.8953185577404,12.7487544305864,12.7109165533658,0.0455355690934,10.9839815648677,-0.0130035937282,-0.0132746805041,0.0037460072611,4.8390928925687,4.5713540678589,4.5192831399146,0.0000000000000,0.0564581293366,-0.0012952287569,-0.0205902562494
2007/03,16.5075000357260,16.5673610341031,14.3633394381426,14.2516953989866,12.9064151408883,12.7625979485472,12.6816964877178,0.0411054099607,10.9660636643007,-0.0050908514049,-0.0119439556405,0.0007723188780,4.8781871167370,4.5623744852387,4.4956531710190,0.0000000000000,0.0390942241683,-0.0089795826202,-0.0236299688957
2007/04,16.5114133412421,16.5734389660233,14.3644749636531,14.2505990174289,12.9204407915003,12.7629446727945,12.6905116280725,0.0396612775838,10.9380488205745,-0.0030802734614,-0.0113652852901,0.0011785544229,4.9193137688164,4.5528762929000,4.4638250920493,1.0000000000000,0.0411266520794,-0.0094981923387,-0.0318280789697
2008/01,16.5093384676660,16.5693563487319,14.3652410757872,14.2493648259687,12.9393761617225,12.7718579343253,12.6252093461105,0.0348381107777,10.9468480178368,-0.0119164303075,-0.0122620520889,0.0022543266459,4.8775264791672,4.5447477800719,4.4434125055561,1.0000000000000,-0.0417872896492,-0.0081285128281,-0.0204125864932
